# Simplified Natural Earth-derived representative 2026 country boxes/cities; not a complete borders dataset.
Australia	Canberra	-35.2809	149.1300	-44	112	-10	154	472000
Brazil	Brasilia	-15.7939	-47.8828	-34	-74	6	-34	3050000
China	Beijing	39.9042	116.4074	18	73	54	135	21893095
Democratic Republic of the Congo	Kinshasa	-4.4419	15.2663	-14	12	6	32	17032000
Egypt	Cairo	30.0444	31.2357	22	25	32	37	10230000
India	New Delhi	28.6139	77.2090	6	68	36	97	329000
Indonesia	Jakarta	-6.2088	106.8456	-11	95	6	141	11075000
Japan	Tokyo	35.6762	139.6503	24	123	46	146	14094034
Mexico	Mexico City	19.4326	-99.1332	14	-119	33	-86	9209944
Russia	Moscow	55.7558	37.6173	41	19	82	180	13010112
United Kingdom	London	51.5074	-0.1278	49	-8	61	2	8866180
United States of America	Washington D.C.	38.9072	-77.0369	24	-125	50	-66	689545
